DateHeure,H13D,HMAXD,TH13D,THMAXD
2021-01-01 00:00:00,1.23,2.12,8.0,7.2
2021-01-01 00:30:00,1.28,2.88,8.2,8.2
2021-01-01 01:00:00,1.38,2.61,8.3,8.0
2021-01-01 01:30:00,1.53,2.68,8.2,7.9
2021-01-01 02:00:00,1.73,2.62,8.4,8.5
2021-01-01 02:30:00,1.62,2.5,8.4,8.6
2021-01-01 03:00:00,1.8,3.04,8.4,8.1
2021-01-01 03:30:00,1.74,2.9,8.3,9.0
2021-01-01 04:00:00,1.92,2.95,8.2,8.4
2021-01-01 04:30:00,1.96,3.69,8.3,7.2
2021-01-01 05:00:00,1.98,3.43,8.1,8.3
2021-01-01 05:30:00,1.97,3.08,8.1,8.0
2021-01-01 06:00:00,2.06,3.59,8.0,7.9
2021-01-01 06:30:00,2.03,3.25,8.2,8.0
2021-01-01 07:00:00,1.82,3.4,8.0,8.1
2021-01-01 07:30:00,1.95,3.29,8.4,8.5
2021-01-01 08:00:00,1.88,3.02,8.4,8.8
2021-01-01 08:30:00,1.68,2.85,8.5,9.0
2021-01-01 09:00:00,1.67,2.73,8.4,8.3
2021-01-01 09:30:00,1.48,2.3,8.8,8.6
2021-01-01 10:00:00,1.3,2.1,8.4,8.3
2021-01-01 10:30:00,1.2,2.37,8.4,8.7
2021-01-01 11:00:00,1.18,1.91,8.5,8.2
2021-01-01 11:30:00,1.11,1.97,8.4,7.5
2021-01-01 12:00:00,1.1,1.93,8.5,8.3
2021-01-01 12:30:00,1.15,1.86,8.6,8.1
2021-01-01 13:00:00,1.05,1.63,8.9,8.0
2021-01-01 13:30:00,1.06,1.95,8.6,8.6
2021-01-01 14:00:00,1.21,2.09,8.8,8.2
2021-01-01 14:30:00,1.26,2.03,8.6,9.6
2021-01-01 15:00:00,1.22,2.31,8.4,9.4
2021-01-01 15:30:00,1.39,2.06,8.6,9.9
2021-01-01 16:00:00,1.48,2.4,8.8,7.8
2021-01-01 16:30:00,1.54,2.67,8.7,8.6
2021-01-01 17:00:00,1.99,3.11,8.8,7.6
2021-01-01 17:30:00,1.88,2.95,8.7,8.4
2021-01-01 18:00:00,1.67,2.62,8.4,8.7
2021-01-01 18:30:00,1.82,2.83,8.5,9.5
2021-01-01 19:00:00,1.71,3.36,8.4,9.4
2021-01-01 19:30:00,1.72,2.89,8.4,8.4
2021-01-01 20:00:00,1.54,2.96,8.1,8.0
2021-01-01 20:30:00,1.47,2.29,8.4,7.2
2021-01-01 21:00:00,1.29,2.48,8.1,8.5
2021-01-01 21:30:00,1.36,2.45,8.4,8.6
2021-01-01 22:00:00,1.09,1.8,8.5,8.8
2021-01-01 23:00:00,0.92,1.73,8.0,9.3
2021-01-01 23:30:00,0.9,1.57,8.2,8.7
2021-01-02 00:00:00,0.9,1.57,7.9,9.1
2021-01-02 00:30:00,0.85,1.5,8.0,7.9
2021-01-02 01:00:00,0.88,1.68,8.3,8.7
2021-01-02 01:30:00,0.92,1.53,8.5,8.6
2021-01-02 02:00:00,0.88,1.41,8.3,7.1
2021-01-02 02:30:00,0.99,1.71,8.3,8.7
2021-01-02 03:00:00,1.06,1.85,8.4,8.3
2021-01-02 03:30:00,1.16,1.75,8.5,8.1
2021-01-02 04:00:00,1.22,2.45,8.4,8.1
